expected_slug,expected_chapter,db_found,db_active,db_has_instagram,db_sample_chapter,db_sample_school,provisional_count,request_id,request_status,request_stage,source_url,source_confidence,last_error,crawl_run_id,crawl_status,pages_processed,records_seen,records_upserted,review_items_created,field_jobs_created,failure_class,top_candidates,review_summary,vt_review_summary,provisional_summary
phi-gamma-delta,Rho Alpha Chapter,True,True,True,Rho Alpha Chapter,Virginia Polytechnic Institute & State University,1,,,,,,,,,,,,,,succeeded_in_db,,,,Rho Alpha Chapter @ Virginia Polytechnic Institute & State University ig=https://www.instagram.com/vtfiji source=https://www.google.com/maps/d/kml?mid=1497z-lFQzqOBrDnwB3z0r_qiqNU&forcekml=1
phi-kappa-tau,Epsilon Chi Chapter,False,False,False,,,0,88672478-dc3f-454b-8220-71970a659b4c,succeeded,completed,https://www.phikappatau.org/find-a-chapter,0.7500,,478,partial,6,3,0,1,0,crawl_completed_without_promoting_vt_row,0.75: Phi Kappa Tau existing configured source (phi-kapp -> https://www.phikappatau.org/find-a-chapter,chapter_search_rejected|navigation_or_chrome x1,,
phi-kappa-psi,Virginia Zeta Chapter,False,False,False,,,0,244f7a4a-0df5-44fb-a593-22f17a1fbf11,succeeded,completed,https://www.phikappapsi.com/chapter-locator/,0.7500,,477,partial,6,54,0,57,0,crawl_completed_without_promoting_vt_row,0.75: Phi Kappa Psi existing configured source (phi-kapp -> https://www.phikappapsi.com/chapter-locator/,chapter_repair_candidate|identity_semantically_incomplete x44; chapter_search_rejected|identity_semantically_incomplete x10; adaptive_review_branch|Adaptive runtime could not identify a confident extraction path x3,,
phi-sigma-kappa,Epsilon Hexaton Chapter,False,False,False,,,0,30e160f5-3c78-4f4b-add7-8f94609e08a1,draft,awaiting_confirmation,https://phisigmakappa.org/join/locate-chapter/,0.9000,Source requires confirmation before crawl execution,479,succeeded,4,0,0,0,0,source_guard_reverted_to_confirmation,0.9: Phi Sigma Kappa existing configured source (phi-si -> https://phisigmakappa.org/join/locate-chapter/,,,
pi-kappa-alpha,Epsilon Chapter,True,True,False,Epsilon,Virginia Tech,0,,,,,,,,,,,,,,succeeded_in_db,,,,
sigma-alpha-epsilon,Virginia Zeta Chapter,True,True,False,Virginia Zeta,Virginia Tech,0,,,,,,,,,,,,,,succeeded_in_db,,,,
sigma-nu,Theta Xi Chapter,True,True,True,Theta Xi,Virginia Polytechnic Institute & State University,0,,,,,,,,,,,,,,succeeded_in_db,,,,
sigma-phi-delta,Beta Delta Chapter,False,False,False,,,0,3d7ac17e-e0a2-4e21-945d-cdbe64c05401,draft,awaiting_confirmation,https://forms.sigmaphidelta.org/cybercastle/chapters.asp,0.6100,Source requires confirmation before crawl execution,461,failed,0,0,0,1,0,source_guard_reverted_to_confirmation,"0.27999999999999997: Ottawa Tourism -> https://ottawatourism.ca/en || 0.24: Date Calculator : Add to or Subtract From a Date -> https://www.timeanddate.com/date/dateadd.html || 0.24: Missing my 1099R or W2 for disability retirement i -> https://www.pebforum.com/threads/missing-my-1099r-or-w2-for-disability-retiremen || 0.24: Peacock : Stream TV and Movies Online, Watch Live  -> https://www.peacocktv.com/ || 0.24: Lee Unkrich - IMDb -> https://www.imdb.com/name/nm0881279/","crawl_failure|HTTPSConnectionPool(host='forms.sigmaphidelta.org', port=443): Max retries exceeded with url: /cybercastle/chapters.asp (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1000)'))) x1",,
sigma-phi-epsilon,Virginia Kappa Chapter,False,False,False,,,0,cb6427ed-255c-4f4d-8b32-e2edc07f65d0,succeeded,completed,https://sigep.org/chapters/,0.9800,,481,partial,2,1,0,1,0,crawl_completed_without_promoting_vt_row,0.98: Chapters - Sigma Phi Epsilon -> https://sigep.org/chapters/ || 0.33: Sigma Phi Epsilon – Building Balanced Men -> https://sigep.org/ || 0.32: Xbox Official Site: Play Games Anywhere | Xbox -> https://www.xbox.com/?msockid=37fed8dac98a62dd39b8cf9dc84d6329 || 0.32: About SigEp -> https://sigep.org/about-sigep/ || 0.31: Xbox Official Site (Canada): Play Games Anywhere | -> https://www.xbox.com/en-ca/?msockid=37fed8dac98a62dd39b8cf9dc84d6329,chapter_search_rejected|navigation_or_chrome x1,,
sigma-tau-gamma,Epsilon Upsilon Chapter,False,False,False,,,0,cd37a171-e6c5-418d-8c3b-a606a3aec27b,draft,awaiting_confirmation,https://sigtau.org/chapters/,0.6100,Source requires confirmation before crawl execution,483,running,0,0,0,0,0,source_guard_reverted_to_confirmation,0.059999999999999984: 有哪位大神能告诉我RTS，TPS，STG，RPG，SLG，FPS的游戏类型 … -> https://www.zhihu.com/question/533313406 || 0.04999999999999999: STG（清版射击游戏）已经过气了吗？ - 知乎 -> https://www.zhihu.com/question/492349462 || 0.03999999999999998: 射击类游戏（STG）对新手而言门槛高吗，如何才能快速上手并获得乐 … -> https://www.zhihu.com/question/1991468521566254956 || 0.029999999999999985: 玩stg游戏要怎么才能提升技术？ - 知乎 -> https://www.zhihu.com/question/58029641 || 0.019999999999999983: PC 平台有什么出彩的二次元 STG 游戏值得推荐？ - 知乎 -> https://www.zhihu.com/question/537414725,,,
tau-kappa-epsilon,Xi Omega Chapter,False,False,False,,,0,45c5524d-9229-491d-9040-a7676bebce03,succeeded,completed,https://tke.org/join-tke/find-a-chapter/,0.9500,,484,partial,2,1,0,1,0,crawl_completed_without_promoting_vt_row,0.95: Tau Kappa Epsilon verified source -> https://tke.org/join-tke/find-a-chapter/,chapter_search_rejected|navigation_or_chrome x1,,
theta-chi,Eta Lambda Chapter,True,True,False,Eta Lambda,Virginia Tech,0,,,,,,,,,,,,,,succeeded_in_db,,,,
theta-xi,Beta Omega Colony,False,False,False,,,0,ce82ffff-cb8f-4a37-aa59-f8b4ac655824,draft,awaiting_confirmation,https://www.thetaxi.org/chapters/,0.9000,Source requires confirmation before crawl execution,485,running,0,0,0,0,0,source_guard_reverted_to_confirmation,0.9: Theta Xi existing configured source (theta-xi-main -> https://www.thetaxi.org/chapters-and-colonies/,,,
theta-delta-chi,Nu Triton Charge,False,False,False,,,0,ea938560-9bad-4f0b-b729-4e95c0cd2d27,draft,awaiting_confirmation,https://www.mytdx.org/forms?id=38,0.6100,Source requires confirmation before crawl execution,460,succeeded,1,0,0,0,0,source_guard_reverted_to_confirmation,"0.27999999999999997: ""Narcisista"" y ""manipulador"": Roberto Cox entrega  -> https://www.biobiochile.cl/noticias/espectaculos-y-tv/tv/2024/01/05/narcisista-y || 0.26999999999999996: Taiwan , een culturele mix van Hakka-, inheemse en -> https://www.thechinajourney.com/nl/taiwan/ || 0.25999999999999995: “Creo que él mató a Narumi ”: Roberto Cox analizó  -> https://www.chilevision.cl/programas/podemos-hablar/creo-que-el-mato-a-narumi-ro || 0.24: DAD AS WITNESS: What changes are there in the new  -> https://www.youtube.com/watch?v=y1HkfE07RZg || 0.24: FDA Approves First -Ever Gene Therapy for Treatmen -> https://www.fda.gov/news-events/press-announcements/fda-approves-first-ever-gene",,,
triangle,Virginia Tech Chapter,False,False,False,,,0,8ee42134-2f4d-4e7e-8108-a3fc32acb1d9,succeeded,completed,https://www.triangle.org/our-chapters/,0.6100,,486,partial,6,3,0,1,0,crawl_completed_without_promoting_vt_row,"0.33: Methane and the Bermuda Triangle, page 1 - AboveTo -> https://www.abovetopsecret.com/forum/thread597784/pg1 || 0.32: Triangle UFO on Nasa Photo, page 7 - AboveTopSecre -> https://www.abovetopsecret.com/forum/thread456091/pg7 || 0.31: The tic tack and triangle UFOs are ours. , page 1 -> https://www.abovetopsecret.com/forum/thread1283599/pg1 || 0.24: AT& T Inc. ( T ) Stock Price, News, Quote & Histor -> https://finance.yahoo.com/quote/T/ || 0.22999999999999998: AT& T Inc ( T ) Stock Price & News - Google Financ -> https://www.google.com/finance/quote/T:nyse",chapter_search_rejected|navigation_or_chrome x1,,
zeta-beta-tau,Delta Xi Chapter,False,False,False,,,0,5df5e0ff-c411-404c-a7a7-5785e0a42e27,draft,awaiting_confirmation,https://zbt.org/chapters,0.9000,Source requires confirmation before crawl execution,488,succeeded,4,0,0,0,0,source_guard_reverted_to_confirmation,0.9: Zeta Beta Tau existing configured source (zeta-bet -> https://zbt.org/chapters,,,
zeta-psi,Alpha Pi Chapter,False,False,False,,,0,08be7a5b-1e8e-46e4-9567-4d7b03406409,draft,awaiting_confirmation,https://zetapsi.org/about/chapters/,0.9000,Source requires confirmation before crawl execution,489,succeeded,4,0,0,0,0,source_guard_reverted_to_confirmation,0.9: Zeta Psi existing configured source (zeta-psi-main -> https://zetapsi.org/about/chapters/,,,
